,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14
0,45.21448637623485,51.74500084166829,32.836592618933025,43.915498060592476,19.11685723240676,21.010291650770633,264.79188171506627,59.09050702177438,67.54717529763622,30.494389663395133,72.43285049348306,104.82650825242925,91.38436858887898,207.54626085247054
1,43.46007066558128,51.39421663106136,34.71222823136091,45.73159035391309,19.116859337630714,21.010296603332407,266.5282605793973,57.508016876554095,67.5471748318816,30.49439188919051,72.43285111819894,104.46330213339364,91.48328481411723,207.54626065617197
2,43.46007554484832,52.88608751519651,32.5600285207719,43.915498213594496,19.116857781974073,19.116868572022966,264.7918814609886,59.090507072820756,67.5471753643089,30.435017688395924,72.43285072888084,104.46330258344337,91.38436921409503,207.5462606730162
3,43.46006926642108,54.40355363779968,34.71124921869639,43.91550118074708,19.116859152456545,19.116870685192787,266.52826054028367,57.50801310922031,67.54717425901657,30.435017611931286,72.43285592258701,104.46330011642225,91.38436793305291,207.54626063364125
4,43.46006669864448,52.88607785250288,34.71226361640762,46.32116177295211,15.335409888530611,19.116882162371557,263.05779301678575,59.09050514960724,67.54717442703355,30.494393061133795,72.43284975776605,106.335052161571,91.48329423062833,207.5462606017987
5,48.60791179515707,55.29400744205291,34.712535719733445,51.744414142522956,11.570612206877279,15.336716771854384,263.0577841040003,60.15299725718082,67.54717607539264,30.494396337822938,72.43284377037277,106.33505252838769,91.4832988099865,207.5462605310752
6,47.70638364050634,56.747109062005805,34.45090460690757,53.05594594160399,6.016010964252104,13.31613158553207,264.7918686685716,60.15297053433289,67.54717556545855,30.49439806724909,73.40036404706107,106.33505444577072,91.48329796953209,207.54626055618783
7,47.70638866552239,55.29401488527603,35.07551338726349,51.744405815061874,9.699685360274556,15.218218165447993,263.0577838011835,61.726280347058044,69.42257316549978,30.49439650740903,73.40035593990056,106.33505292914585,91.62159175891465,207.54626053126375
8,45.96839301345228,55.29400637749989,34.71252137531754,51.21703976111014,15.685521386456806,17.225609695330988,263.84741812792566,62.80127282923574,69.42257171021559,30.494403953842088,73.40036075188618,106.33505224993986,91.621590098079,207.54626057505422
9,46.980415007780095,51.18182538093345,36.58990387121131,49.3829136148134,17.224339097128812,17.225610607203716,263.05779024193816,60.69134574678567,69.4225724057386,30.494407495898784,73.40034101737464,106.33505394230794,91.48329262000725,207.54626062257827
10,45.96841369038098,49.78434815978206,32.836868319816176,49.38387839185197,17.119003206014305,17.225515497555254,263.0577925586167,60.69137270199681,67.54717434608034,30.494408677273363,74.40389953173671,106.33505216629851,91.62157452281758,205.73414353406773
11,46.98041999200199,49.92947836735432,32.56025991524067,49.38387780802961,17.224338144649384,17.225422628615075,264.0187757748281,59.089707734686606,67.54717596164068,32.39292320456979,76.01539675058501,106.33505042980934,91.62156327654941,205.73414341126397
12,46.32085646277557,51.39343792636957,34.44991567649533,49.38388060402123,17.22433655886179,17.22543221624689,262.279574507951,60.690545978448135,67.54717421151439,32.39292274996136,74.40387778880239,104.13475760662857,91.79915832952543,205.73414346036822
